朝礼,ちょうれい
今日,きょう
目標,もくひょう
全力,ぜんりょく
寝る,ねる
国語,こくご
算数,さんすう
理科,りか
社会,しゃかい
英語,えいご
大嫌い,だいきらい
全部,ぜんぶ
意味,いみ
自分,じぶん
新しい,あたらしい
作っ,つくっ
楽しく,たのしく
世界,せかい
言葉,ことば
3,さん
時間,じかん
作り,づくり
覚える,おぼえる
簡単,かんたん
5,ご
音,おと
睡眠,すいみん
最高,さいこう
明日,あした
予定,よてい
音楽,おんがく
大好き,だいすき
楽しい,たのしい
言語,げんご
学,がく
賞,しょう
思っ,おもっ
通り,とおり
宇宙,うちゅう
果て,はて
昨日,きのう
寝,ね
作り,つくり
発音,はつおん
声,こえ
出し,だし
完成,かんせい
半径,はんけい
1,いち
億,おく
万,まん
電波,でんぱ
飛ばせる,とばせる
広大,こうだい
無数,むすう
輝く,かがやく
星,ほし
中,なか
待っ,まっ
君,きみ
届く,とどく
会える,あえる
巡り合える,めぐりあえる
信じ,しんじ
終,おわり
礼,れい
将来,しょうらい
夢,ゆめ
